Pclass_surviving,Pclass_nonsurviving,Sex_surviving,Sex_nonsurviving,Age_surviving,Age_nonsurviving,SibSp_surviving,SibSp_nonsurviving,Parch_surviving,Parch_nonsurviving,Ticket_surviving,Ticket_nonsurviving,Fare_surviving,Fare_nonsurviving,Cabin_surviving,Cabin_nonsurviving,Embarked_surviving,Embarked_nonsurviving
1,3,female,male,18.0,20.0,0,0,2,0,110413,2648,79.65,4.0125,E68,,S,C
1,3,male,male,60.0,19.0,1,0,1,0,13567,347069,79.2,7.775,B41,,C,S
1,3,female,male,52.0,32.0,1,0,0,0,36947,STON/O 2. 3101293,78.2667,7.925,D20,,C,S
2,3,female,male,,,0,0,0,0,248727,349227,33.0,7.8958,,,S,S
1,2,male,male,49.0,18.0,1,0,0,0,PC 17485,S.O.C. 14879,56.9292,73.5,A20,,C,S
2,3,female,male,24.0,1.0,2,5,1,2,243847,CA 2144,27.0,46.9,,,S,S
1,3,male,male,35.0,,0,0,0,0,111426,367655,26.55,7.7292,,,C,Q
1,3,male,male,27.0,28.0,0,2,0,0,113804,3101277,30.5,7.925,,,S,S
2,3,female,male,22.0,22.0,1,0,2,0,SC/Paris 2123,350052,41.5792,7.7958,,,C,S
1,3,female,female,40.0,31.0,0,0,0,0,PC 17582,350407,153.4625,7.8542,C125,,S,S
3,2,female,male,,46.0,1,0,0,0,367230,28403,15.5,26.0,,,Q,S
2,2,female,male,24.0,23.0,1,0,2,0,220845,244278,65.0,10.5,,,S,S
2,3,female,male,4.0,26.0,2,0,1,0,230136,341826,39.0,8.05,F4,,S,S
1,3,male,female,42.0,21.0,1,1,0,0,11753,4137,52.5542,9.825,D19,,S,S
3,3,male,male,20.0,28.0,1,1,1,0,2653,STON/O2. 3101279,15.7417,15.85,,,C,S
1,3,female,female,21.0,20.0,0,0,0,0,13502,315096,77.9583,8.6625,D9,,S,S
1,2,male,male,80.0,34.0,0,1,0,0,27042,28664,30.0,21.0,A23,,S,S
1,3,male,male,32.0,51.0,0,0,0,0,13214,347064,30.5,7.75,B50,,C,S
2,3,female,male,28.0,21.0,0,0,0,0,237668,312992,13.0,7.775,,,S,S
1,3,female,female,24.0,,0,3,0,1,PC 17477,4133,69.3,25.4667,B35,,C,S
3,3,male,male,,,0,0,0,0,1601,349222,56.4958,7.8958,,,S,S
3,3,female,male,0.75,,2,0,1,0,2666,394140,19.2583,6.8583,,,C,Q
1,2,male,male,48.0,,1,0,0,0,PC 17572,239853,76.7292,0.0,D33,,C,S
1,3,male,female,56.0,,0,0,0,0,13213,343095,35.5,8.05,A26,,C,S
3,2,female,male,23.0,30.0,0,0,0,0,CA. 2314,28228,7.55,13.0,,,S,S
2,3,female,female,18.0,10.0,0,0,1,2,231919,345773,23.0,24.15,,,S,S
3,3,female,male,,,0,0,0,0,330919,349254,7.8292,7.8958,,,Q,C
1,3,male,male,50.0,21.0,2,0,0,0,PC 17611,A/5. 13032,133.65,7.7333,,,S,Q
3,3,male,male,20.0,29.0,1,0,0,0,STON/O 2. 3101285,315082,7.925,7.875,,,S,S
1,3,female,female,,28.0,1,1,0,1,19996,347080,52.0,14.4,C126,,S,S
2,3,female,male,40.0,18.0,1,1,1,1,29750,370129,39.0,20.2125,,,S,S
2,3,male,male,31.0,,0,0,0,0,244270,A/4. 34244,13.0,7.25,,,S,S
3,3,female,male,18.0,,0,0,0,0,4138,364851,9.8417,7.75,,,S,Q
1,3,male,male,36.0,17.0,0,0,1,0,PC 17755,STON/O 2. 3101274,512.3292,7.125,B51 B53 B55,,C,S
1,1,male,male,27.0,50.0,0,1,0,0,PC 17572,13507,76.7292,55.9,D49,E44,C,S
1,3,female,female,15.0,21.0,0,2,1,2,24160,W./C. 6608,211.3375,34.375,B5,,S,S
1,1,male,male,31.0,64.0,1,1,0,4,17474,19950,57.0,263.0,B20,C23 C25 C27,S,S
3,2,female,male,4.0,31.0,0,0,1,0,349256,C.A. 18723,13.4167,10.5,,,C,S
3,3,male,male,,20.0,0,0,0,0,1601,345769,56.4958,9.5,,,S,S
3,3,female,male,,25.0,0,1,0,0,35852,347076,7.7333,7.775,,,Q,S
1,2,female,male,18.0,36.0,1,1,0,2,PC 17757,C.A. 34651,227.525,27.75,C62 C64,,C,S
1,3,male,male,35.0,,0,1,0,0,PC 17475,65303,26.2875,19.9667,E24,,S,S
2,1,female,male,45.0,30.0,0,0,0,0,223596,113051,13.5,27.75,,C111,S,C
1,3,male,male,42.0,,0,0,0,0,PC 17476,A/5 2817,26.2875,8.05,E24,,S,S
1,1,female,male,22.0,65.0,0,0,0,0,113781,13509,151.55,26.55,,E38,S,S
3,3,male,male,,,1,0,1,0,2661,371060,15.2458,7.75,,,C,Q
1,3,female,male,24.0,34.0,0,0,0,0,PC 17482,364506,49.5042,8.05,C90,,C,S
1,1,male,male,48.0,47.0,1,0,0,0,19996,111320,52.0,38.5,C126,E63,S,S
1,2,female,male,38.0,48.0,0,0,0,0,PC 17757,234360,227.525,13.0,C45,,C,S
2,3,female,male,27.0,,0,0,0,0,34218,A/S 2816,10.5,8.05,E101,,S,S
2,3,female,male,6.0,38.0,0,0,1,0,248727,SOTON/O.Q. 3101306,33.0,7.05,,,S,S
1,2,male,male,27.0,,1,0,0,0,113806,239853,53.1,0.0,E8,,S,S
2,1,female,male,30.0,56.0,3,0,0,0,31027,113792,21.0,26.55,,,S,S
3,3,female,male,,,0,0,0,0,36866,36209,7.7375,7.725,,,Q,Q
1,3,female,male,29.0,,0,0,0,0,24160,323592,211.3375,7.25,B5,,S,S
1,3,male,male,35.0,38.0,0,0,0,0,PC 17755,315089,512.3292,8.6625,B101,,C,S
1,3,male,female,,22.0,0,0,0,0,16988,7553,30.0,9.8375,D45,,S,S
1,1,female,male,21.0,,2,0,2,0,PC 17608,110465,262.375,52.0,B57 B59 B63 B66,A14,C,S
3,2,male,male,31.0,34.0,0,1,0,0,STON/O 2. 3101288,31027,7.925,21.0,,,S,S
2,3,female,male,30.0,29.0,0,1,0,0,250648,3460,13.0,7.0458,,,S,S
2,3,female,male,4.0,22.0,1,0,1,0,29103,350060,23.0,7.5208,,,S,S
3,3,male,male,6.0,9.0,0,5,1,2,392096,CA 2144,12.475,46.9,E121,,S,S
2,2,female,male,48.0,,1,0,2,0,220845,239854,65.0,0.0,,,S,S
2,3,male,male,0.67,50.0,1,0,1,0,250649,A/5 3594,14.5,8.05,,,S,S
1,3,female,female,33.0,,0,3,0,1,110152,4133,86.5,25.4667,B77,,S,S
3,1,male,male,20.0,58.0,0,0,0,0,2663,11771,7.2292,29.7,,B37,C,C
1,3,female,male,36.0,30.0,1,0,2,0,113760,A.5. 18509,120.0,8.05,B96 B98,,S,S
1,3,female,male,51.0,,1,1,0,0,13502,65304,77.9583,19.9667,D11,,S,S
2,3,female,male,54.0,21.0,1,0,3,0,29105,SOTON/OQ 3101317,23.0,7.25,,,S,S
3,1,female,male,5.0,55.0,0,0,0,0,364516,113787,12.475,30.5,,C30,S,S
1,1,female,male,43.0,71.0,0,0,1,0,24160,PC 17609,211.3375,49.5042,B3,,S,C
3,3,female,male,13.0,21.0,0,0,0,0,2687,A/4 45380,7.2292,8.05,,,C,S
1,3,female,male,17.0,,1,0,0,0,17474,2627,57.0,14.4583,B20,,S,C
3,3,female,male,18.0,,0,0,0,0,3101265,C.A. 6212,7.4958,15.1,,,S,S
3,1,male,female,1.0,25.0,1,1,2,2,C.A. 2315,113781,20.575,151.55,,C22 C26,S,S
1,3,female,male,49.0,24.0,0,0,0,0,17465,350035,25.9292,7.7958,D17,,S,S
3,3,female,male,31.0,17.0,0,0,0,0,349244,315086,8.6833,8.6625,,,S,S
2,3,female,female,31.0,21.0,1,0,1,0,C.A. 31921,364846,26.25,7.75,,,S,Q
1,3,male,female,11.0,,1,0,2,0,113760,330909,120.0,7.6292,B96 B98,,S,Q
3,3,male,female,0.42,37.0,0,0,1,0,2625,4135,8.5167,9.5875,,,C,S
3,1,male,male,27.0,18.0,0,1,0,0,347089,PC 17758,6.975,108.9,,C65,S,C
1,3,female,male,33.0,28.0,1,0,0,0,113806,C 4001,53.1,22.525,E8,,S,S
1,3,female,male,52.0,,1,0,1,0,12749,SOTON/OQ 3101316,93.5,8.05,B69,,S,S
3,3,male,male,27.0,24.0,0,0,0,0,315098,349209,8.6625,7.4958,,,S,S
3,1,female,male,27.0,47.0,0,0,1,0,392096,36967,12.475,34.0208,E121,D46,S,S
2,3,male,male,1.0,,0,0,2,0,S.C./PARIS 2079,371110,37.0042,24.15,,,C,Q
3,3,male,male,,32.0,0,0,0,0,367228,349242,7.75,7.8958,,,Q,S
1,3,female,male,62.0,22.0,0,0,0,0,113572,349252,80.0,7.8958,B28,,,S
3,3,female,male,15.0,,1,0,0,0,2659,2624,14.4542,7.225,,,C,C
2,3,male,male,0.83,,1,0,1,0,29106,2700,18.75,7.2292,,,S,C
1,3,female,male,39.0,40.5,1,0,1,0,PC 17756,367232,83.1583,7.75,E49,,C,Q
3,1,male,male,32.0,,0,0,0,0,1601,PC 17483,56.4958,221.7792,,C95,S,S
1,3,male,male,,39.0,0,0,0,0,11774,3101296,29.7,7.925,C47,,C,S
1,2,female,male,30.0,23.0,0,2,0,1,113798,29104,31.0,11.5,,,C,S
1,3,female,male,,,1,0,0,0,17453,2641,89.1042,7.2292,C92,,C,C
1,3,female,male,16.0,17.0,0,1,1,1,PC 17592,2690,39.4,7.2292,D28,,S,C
3,3,female,female,18.0,30.0,0,0,1,0,392091,315084,9.35,8.6625,,,S,S
1,1,female,male,45.0,45.0,1,0,1,0,36928,113050,164.8667,26.55,,B38,S,S
1,3,male,male,51.0,,0,0,0,0,113055,364498,26.55,14.5,E17,,S,S
3,3,female,female,24.0,9.0,0,4,3,2,2666,347082,19.2583,31.275,,,C,S
1,3,female,female,48.0,11.0,0,4,0,2,17466,347082,25.9292,31.275,D17,,S,S
2,1,female,male,42.0,50.0,0,1,0,0,236852,PC 17761,13.0,106.425,,C86,S,C
2,1,female,male,27.0,64.0,1,0,0,0,SC/PARIS 2149,693,13.8583,26.0,,,C,S
3,3,male,male,4.0,33.0,1,1,1,1,347742,363291,11.1333,20.525,,,S,S
1,2,female,male,47.0,27.0,1,0,1,0,11751,244358,52.5542,26.0,D35,,S,S
2,3,female,male,28.0,,1,0,0,0,P/PP 3381,330979,24.0,7.8292,,,C,Q
3,1,female,male,15.0,62.0,0,0,0,0,2667,113807,7.225,26.55,,,C,S
1,1,female,male,56.0,,0,0,1,0,11767,PC 17757,83.1583,227.525,C50,,C,C
2,3,female,male,25.0,,0,0,1,0,230433,372622,26.0,7.75,,,S,Q
1,3,female,male,19.0,40.0,0,0,0,0,112053,349251,30.0,7.8958,B42,,S,S
1,2,male,male,26.0,28.0,0,0,0,0,111369,218629,30.0,13.5,C148,,C,S
,3,,male,,,,0,,0,,SOTON/OQ 392082,,8.05,,,,S
,3,,female,,,,0,,0,,SOTON/O.Q. 392087,,8.05,,,,S
,3,,male,,24.0,,2,,0,,A/4 48871,,24.15,,,,S
,3,,male,,19.0,,0,,0,,349205,,7.8958,,,,S
,3,,female,,29.0,,0,,4,,349909,,21.075,,,,S
,3,,male,,,,0,,0,,2686,,7.2292,,,,C
,3,,male,,16.0,,0,,0,,A/4. 20589,,8.05,,,,S
,3,,male,,19.0,,0,,0,,358585,,14.5,,,,S
,3,,female,,,,1,,0,,2689,,14.4583,,,,C
,2,,male,,54.0,,0,,0,,28403,,26.0,,,,S
,1,,male,,36.0,,0,,0,,13049,,40.125,,A10,,C
,3,,male,,,,0,,0,,3411,,8.7125,,,,C
,2,,male,,47.0,,0,,0,,237565,,15.0,,,,S
,3,,male,,22.0,,0,,0,,14973,,8.05,,,,S
,3,,male,,,,0,,0,,A./5. 3235,,8.05,,,,S
,3,,male,,35.0,,0,,0,,STON/O 2. 3101273,,7.125,,,,S
,3,,male,,47.0,,0,,0,,A/5 3902,,7.25,,,,S
,3,,female,,,,0,,2,,364848,,7.75,,,,Q
,2,,male,,37.0,,1,,0,,SC/AH 29037,,26.0,,,,S
,3,,male,,36.0,,1,,1,,345773,,24.15,,,,S
,3,,male,,49.0,,0,,0,,LINE,,0.0,,,,S
,3,,male,,,,0,,0,,2664,,7.225,,,,C
,3,,male,,,,0,,0,,349214,,7.8958,,,,S
,1,,male,,,,0,,0,,113796,,42.4,,,,S
,3,,male,,44.0,,0,,0,,364511,,8.05,,,,S
,3,,male,,36.0,,1,,0,,349910,,15.55,,,,S
,3,,male,,30.0,,0,,0,,349246,,7.8958,,,,S
,3,,female,,39.0,,1,,5,,347082,,31.275,,,,S
,3,,male,,,,0,,0,,SOTON/O.Q. 3101305,,7.05,,,,S
,3,,male,,,,0,,0,,370377,,7.75,,,,Q
,3,,male,,35.0,,0,,0,,364512,,8.05,,,,S
,3,,male,,34.0,,1,,1,,347080,,14.4,,,,S
,3,,female,,26.0,,1,,0,,A/5. 3336,,16.1,,,,S
,2,,male,,26.0,,0,,0,,31028,,10.5,,,,S
,3,,male,,27.0,,1,,0,,2659,,14.4542,,,,C
,3,,male,,21.0,,0,,0,,350029,,7.8542,,,,S
,3,,male,,21.0,,0,,0,,54636,,16.1,,,,S
,1,,male,,61.0,,0,,0,,36963,,32.3208,,D50,,S
,2,,male,,57.0,,0,,0,,219533,,12.35,,,,Q
,3,,male,,26.0,,0,,0,,349224,,7.8958,,,,S
,3,,male,,,,0,,0,,334912,,7.7333,,,,Q
,3,,male,,51.0,,0,,0,,347743,,7.0542,,,,S
,1,,male,,,,0,,0,,112052,,0.0,,,,S
,3,,female,,9.0,,3,,2,,347088,,27.9,,,,S
,3,,male,,32.0,,0,,0,,STON/O 2. 3101292,,7.925,,,,S
,2,,male,,31.0,,1,,1,,C.A. 31921,,26.25,,,,S
,3,,female,,41.0,,0,,5,,3101295,,39.6875,,,,S
,3,,male,,,,1,,0,,376564,,16.1,,,,S
,3,,male,,20.0,,0,,0,,350050,,7.8542,,,,S
,3,,female,,2.0,,3,,2,,347088,,27.9,,,,S
,3,,male,,19.0,,0,,0,,349231,,7.8958,,,,S
,3,,male,,,,0,,0,,S.O./P.P. 751,,7.55,,,,S
,3,,male,,,,0,,0,,349221,,7.8958,,,,S
,3,,male,,21.0,,0,,0,,8475,,8.4333,,,,S
,3,,female,,18.0,,0,,0,,365226,,6.75,,,,Q
,2,,male,,24.0,,2,,0,,S.O.C. 14879,,73.5,,,,S
,3,,male,,,,0,,0,,349223,,7.8958,,,,S
,3,,female,,32.0,,1,,1,,364849,,15.5,,,,Q
,2,,male,,23.0,,0,,0,,29751,,13.0,,,,S
,1,,male,,58.0,,0,,2,,35273,,113.275,,D48,,C
,3,,male,,40.0,,0,,0,,2623,,7.225,,,,C
,1,,male,,47.0,,0,,0,,5727,,25.5875,,E58,,S
,3,,male,,36.0,,0,,0,,349210,,7.4958,,,,S
,2,,male,,32.0,,2,,0,,S.O.C. 14879,,73.5,,,,S
,2,,male,,25.0,,0,,0,,234686,,13.0,,,,S
,3,,male,,,,0,,0,,312993,,7.775,,,,S
,3,,male,,43.0,,0,,0,,A/5 3536,,8.05,,,,S
,1,,male,,31.0,,1,,0,,F.C. 12750,,52.0,,B71,,S
,2,,male,,70.0,,0,,0,,C.A. 24580,,10.5,,,,S
,2,,male,,,,0,,0,,239856,,0.0,,,,S
,3,,male,,18.0,,0,,0,,349912,,7.775,,,,S
,3,,male,,24.5,,0,,0,,342826,,8.05,,,,S
,3,,female,,43.0,,1,,6,,CA 2144,,46.9,,,,S
,3,,female,,,,0,,0,,330935,,8.1375,,,,Q
,3,,male,,20.0,,0,,0,,6563,,9.225,,,,S
,3,,male,,14.0,,5,,2,,CA 2144,,46.9,,,,S
,2,,male,,60.0,,1,,1,,29750,,39.0,,,,S
,2,,male,,25.0,,1,,2,,SC/Paris 2123,,41.5792,,,,C
,3,,male,,14.0,,4,,1,,3101295,,39.6875,,,,S
,3,,male,,19.0,,0,,0,,349228,,10.1708,,,,S
,3,,male,,18.0,,0,,0,,350036,,7.7958,,,,S
,3,,male,,25.0,,0,,0,,2672,,7.225,,,,C
,1,,male,,60.0,,0,,0,,113800,,26.55,,,,S
,2,,male,,52.0,,0,,0,,248731,,13.5,,,,S
,3,,male,,44.0,,0,,0,,363592,,8.05,,,,S
,1,,male,,49.0,,1,,1,,17421,,110.8833,,C68,,C
,3,,male,,42.0,,0,,0,,348121,,7.65,,F G63,,S
,3,,female,,18.0,,0,,1,,2691,,14.4542,,,,C
,3,,male,,25.0,,0,,0,,36864,,7.7417,,,,Q
,3,,male,,26.0,,1,,0,,350025,,7.8542,,,,S
,2,,male,,39.0,,0,,0,,250655,,26.0,,,,S
,1,,male,,,,0,,0,,113028,,26.55,,C124,,S
,3,,male,,29.0,,0,,0,,7545,,9.4833,,,,S
,2,,male,,52.0,,0,,0,,250647,,13.0,,,,S
,3,,male,,19.0,,0,,0,,348124,,7.65,,F G73,,S
,3,,male,,,,0,,0,,36568,,15.5,,,,Q
,3,,male,,33.0,,0,,0,,347062,,7.775,,,,S
,3,,male,,17.0,,1,,0,,350048,,7.0542,,,,S
,2,,male,,34.0,,0,,0,,12233,,13.0,,,,S
,2,,male,,50.0,,0,,0,,250643,,13.0,,,,S
,3,,male,,20.0,,0,,0,,315094,,8.6625,,,,S
,2,,male,,25.0,,1,,0,,236853,,26.0,,,,S
,3,,female,,25.0,,1,,0,,STON/O2. 3101271,,7.925,,,,S
,3,,male,,11.0,,0,,0,,2699,,18.7875,,,,C
,2,,male,,,,0,,0,,239855,,0.0,,,,S
,2,,male,,23.0,,0,,0,,28425,,13.0,,,,S
,2,,male,,23.0,,0,,0,,233639,,13.0,,,,S
,3,,male,,28.5,,0,,0,,54636,,16.1,,,,S
,3,,female,,48.0,,1,,3,,W./C. 6608,,34.375,,,,S
,3,,male,,,,0,,0,,349201,,7.8958,,,,S
,3,,male,,,,0,,0,,349218,,7.8958,,,,S
,1,,male,,36.0,,1,,0,,19877,,78.85,,C46,,S
,3,,male,,24.0,,1,,0,,376566,,16.1,,,,S
,1,,male,,70.0,,1,,1,,WE/P 5735,,71.0,,B22,,S
,3,,male,,16.0,,1,,1,,C.A. 2673,,20.25,,,,S
,1,,male,,19.0,,1,,0,,113773,,53.1,,D30,,S
,3,,male,,31.0,,0,,0,,335097,,7.75,,,,Q
,3,,male,,33.0,,0,,0,,345780,,9.5,,,,S
,3,,male,,23.0,,0,,0,,349204,,7.8958,,,,S
,3,,male,,28.0,,0,,0,,350042,,7.7958,,,,S
,2,,male,,18.0,,0,,0,,29108,,11.5,,,,S
,3,,male,,34.0,,0,,0,,363294,,8.05,,,,S
,3,,male,,,,0,,0,,358585,,14.5,,,,S
,3,,male,,41.0,,0,,0,,SOTON/O2 3101272,,7.125,,,,S
,3,,male,,16.0,,0,,0,,347074,,7.775,,,,S
,1,,male,,,,0,,0,,112379,,39.6,,,,C
,3,,female,,30.5,,0,,0,,364850,,7.75,,,,Q
,3,,male,,,,1,,0,,371110,,24.15,,,,Q
,3,,male,,32.0,,0,,0,,8471,,8.3625,,,,S
,3,,male,,24.0,,0,,0,,345781,,9.5,,,,S
,3,,male,,48.0,,0,,0,,350047,,7.8542,,,,S
,2,,female,,57.0,,0,,0,,S.O./P.P. 3,,10.5,,E77,,S
,3,,male,,,,0,,0,,2674,,7.225,,,,C
,3,,male,,18.0,,0,,0,,347078,,7.75,,,,S
,3,,male,,,,0,,0,,383121,,7.75,,F38,,Q
,3,,male,,,,0,,0,,36865,,7.7375,,,,Q
,1,,male,,29.0,,0,,0,,113501,,30.0,,D6,,S
,3,,male,,,,1,,2,,W./C. 6607,,23.45,,,,S
,3,,male,,25.0,,0,,0,,SOTON/O.Q. 3101312,,7.05,,,,S
,3,,male,,25.0,,0,,0,,374887,,7.25,,,,S
,3,,male,,8.0,,4,,1,,382652,,29.125,,,,Q
,1,,male,,46.0,,0,,0,,PC 17593,,79.2,,B82 B84,,C
,3,,male,,,,0,,0,,12460,,7.75,,,,Q
,2,,male,,16.0,,0,,0,,239865,,26.0,,,,S
,3,,female,,,,8,,2,,CA. 2343,,69.55,,,,S
,1,,male,,,,0,,0,,PC 17600,,30.6958,,,,C
,3,,male,,25.0,,0,,0,,349203,,7.8958,,,,S
,2,,male,,39.0,,0,,0,,28213,,13.0,,,,S
,3,,male,,30.0,,0,,0,,2685,,7.2292,,,,C
,3,,female,,30.0,,1,,1,,345773,,24.15,,,,S
,2,,male,,34.0,,0,,0,,250647,,13.0,,,,S
,3,,male,,31.0,,0,,0,,347063,,7.775,,,,S
,1,,male,,39.0,,0,,0,,112050,,0.0,,A36,,S
,3,,female,,18.0,,0,,0,,347087,,7.775,,,,S
,2,,male,,39.0,,0,,0,,248723,,13.0,,,,S
,3,,male,,26.0,,0,,0,,3474,,7.8875,,,,S
,3,,male,,39.0,,0,,0,,A/4 48871,,24.15,,,,S
,2,,male,,35.0,,0,,0,,28206,,10.5,,,,S
,3,,female,,6.0,,4,,2,,347082,,31.275,,,,S
,3,,male,,30.5,,0,,0,,364499,,8.05,,,,S
,1,,male,,,,0,,0,,112058,,0.0,,B102,,S
,3,,female,,23.0,,0,,0,,STON/O2. 3101290,,7.925,,,,S
,2,,male,,31.0,,1,,1,,S.C./PARIS 2079,,37.0042,,,,C
,3,,male,,43.0,,0,,0,,C 7075,,6.45,,,,S
,3,,male,,10.0,,3,,2,,347088,,27.9,,,,S
,1,,male,,38.0,,0,,0,,19972,,0.0,,,,S
,3,,male,,2.0,,4,,1,,3101295,,39.6875,,,,S
,3,,male,,,,0,,0,,368323,,6.95,,,,Q
,3,,male,,,,0,,0,,1601,,56.4958,,,,S
,3,,male,,,,0,,0,,2671,,7.2292,,,,C
,3,,male,,23.0,,0,,0,,347468,,7.8542,,,,S
,3,,male,,18.0,,0,,0,,2223,,8.3,,,,S
,3,,male,,21.0,,0,,0,,315097,,8.6625,,,,S
,3,,male,,,,0,,0,,392092,,8.05,,,,S
,3,,male,,20.0,,0,,0,,SOTON/O2 3101287,,7.925,,,,S
,2,,male,,16.0,,0,,0,,S.O./P.P. 3,,10.5,,,,S
,3,,male,,34.5,,0,,0,,2683,,6.4375,,,,C
,3,,male,,17.0,,0,,0,,315090,,8.6625,,,,S
,3,,male,,42.0,,0,,0,,C.A. 5547,,7.55,,,,S
,3,,male,,,,8,,2,,CA. 2343,,69.55,,,,S
,3,,male,,35.0,,0,,0,,349213,,7.8958,,,,C
,2,,male,,28.0,,0,,1,,248727,,33.0,,,,S
,3,,male,,4.0,,4,,2,,347082,,31.275,,,,S
,3,,male,,74.0,,0,,0,,347060,,7.775,,,,S
,3,,female,,9.0,,1,,1,,2678,,15.2458,,,,C
,2,,female,,44.0,,1,,0,,244252,,26.0,,,,S
,3,,male,,,,0,,0,,2629,,7.2292,,,,C
,3,,male,,41.0,,2,,0,,350026,,14.1083,,,,S
,2,,male,,21.0,,1,,0,,28134,,11.5,,,,S
,3,,female,,,,8,,2,,CA. 2343,,69.55,,,,S
,2,,male,,24.0,,0,,0,,233866,,13.0,,,,S
,1,,male,,31.0,,0,,0,,PC 17590,,50.4958,,A24,,S
,3,,male,,,,0,,0,,345777,,9.5,,,,S
,3,,male,,26.0,,0,,0,,349248,,7.8958,,,,S
,1,,male,,33.0,,0,,0,,695,,5.0,,B51 B53 B55,,S
,3,,male,,47.0,,0,,0,,345765,,9.0,,,,S
,3,,male,,20.0,,0,,0,,7534,,9.8458,,,,S
,3,,male,,19.0,,0,,0,,349212,,7.8958,,,,S
,3,,male,,,,0,,0,,349217,,7.8958,,,,S
,3,,male,,33.0,,0,,0,,349257,,7.8958,,,,S
,3,,female,,22.0,,0,,0,,7552,,10.5167,,,,S
,2,,male,,28.0,,0,,0,,C.A./SOTON 34068,,10.5,,,,S
,3,,male,,25.0,,0,,0,,SOTON/OQ 392076,,7.05,,,,S
,3,,female,,39.0,,0,,5,,382652,,29.125,,,,Q
,2,,male,,27.0,,0,,0,,211536,,13.0,,,,S
,3,,female,,,,1,,2,,W./C. 6607,,23.45,,,,S
,3,,male,,32.0,,0,,0,,370376,,7.75,,,,Q
